payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4454716,69402276,120800,1800,DEBIT,PAID
4454587,69402349,119200,1560,ONLINE,PAID
4454588,69402387,231200,6240,ONLINE,PAID
4454591,69402473,128000,1920,ONLINE,PAID
4454601,69402477,159600,2400,ONLINE,PAID
4454598,69402491,710000,19160,ONLINE,PAID
4454597,69402492,218000,3280,ONLINE,PAID
4454600,69402511,241600,3640,ONLINE,PAID
4454602,69402523,99600,1480,ONLINE,PAID
4454603,69402523,100000,0,VOUCHER,PAID
4454606,69403034,527200,14240,ONLINE,PAID
4638221,69403153,95600,0,MEAL_BENEFIT,PAID
4454609,69403180,132800,2000,ONLINE,PAID
4454612,69403378,183600,2760,ONLINE,PAID
4454614,69403452,39640,600,VOUCHER_STORE,PAID
4454620,69403755,986000,26640,ONLINE,PAID
4454624,69403878,820200,22160,ONLINE,PAID
4454625,69403907,139600,2080,ONLINE,PAID
4454629,69404178,271200,7320,ONLINE,PAID
4454631,69404198,56000,840,ONLINE,PAID
4454638,69404327,98000,1480,ONLINE,PAID
4454642,69404346,193200,2880,ONLINE,PAID
4454644,69404357,144000,1440,ONLINE,PAID
4454645,69404357,48000,0,VOUCHER,PAID
5515478,69404437,282800,5640,BANK_TRANSFER_DC,PAID
4454651,69404473,90600,1360,ONLINE,PAID
4454652,69404494,119200,1800,ONLINE,PAID
4454662,69404620,322800,4840,ONLINE,PAID
4454664,69404696,646800,17480,ONLINE,PAID
4454665,69404720,272360,4080,ONLINE,PAID
4454669,69404860,155600,2160,ONLINE,PAID
4454673,69404889,170800,2560,ONLINE,PAID
4454674,69404906,131560,1960,ONLINE,PAID
4454685,69405294,119600,1800,ONLINE,PAID
4454688,69405367,226000,3400,ONLINE,PAID
4454689,69405432,102000,1520,ONLINE,PAID
4454697,69405709,330360,4960,ONLINE,PAID
4454699,69405958,171600,2560,ONLINE,PAID
4454792,69406044,71600,1080,CREDIT,PAID
4454835,69406197,120000,1800,DEBIT,PAID
4454706,69406416,174360,2600,ONLINE,PAID
4454707,69406416,48000,0,VOUCHER,PAID
4454949,69406582,143200,0,MEAL_BENEFIT,PAID
4454709,69406651,113600,1600,ONLINE,PAID
4454712,69406718,176800,2480,ONLINE,PAID
4454717,69406791,799960,16000,VOUCHER_STORE,PAID
4454971,69406813,127600,1920,CREDIT,PAID
4454718,69406921,291200,4360,ONLINE,PAID
4454724,69407317,152000,2280,ONLINE,PAID
4454725,69407318,339600,5080,ONLINE,PAID
4454729,69407368,4378440,87560,STORE_DIRECT_PAYMENT,PAID
4454731,69407552,306000,4600,ONLINE,PAID
4454732,69407565,680400,18360,ONLINE,PAID
4454737,69407681,639600,12800,ONLINE,PAID
4454739,69407812,231200,0,ONLINE,PAID
4454745,69408047,358800,5400,ONLINE,PAID
4454746,69408181,171200,2240,ONLINE,PAID
4455140,69408404,191520,2880,CREDIT_STORE,PAID
4454754,69408536,217200,3040,ONLINE,PAID
4454761,69408711,716400,19360,ONLINE,PAID
4454766,69408824,258800,3880,ONLINE,PAID
4454768,69408878,227200,6120,ONLINE,PAID
4454775,69409125,276000,4160,ONLINE,PAID
4454783,69409517,16000,240,ONLINE,PAID
4454784,69409517,64000,0,VOUCHER,PAID
4454785,69409566,377000,10160,ONLINE,PAID
4454787,69409608,223600,3360,ONLINE,PAID
4454790,69409727,107600,1600,ONLINE,PAID
4454791,69409751,524000,7880,ONLINE,PAID
4454797,69409905,135600,2040,ONLINE,PAID
4454798,69409990,212000,3200,ONLINE,PAID
4454801,69410204,1544800,41720,ONLINE,PAID
4454984,69410478,297200,4160,DEBIT,PAID
4454805,69410577,542200,14640,ONLINE,PAID
4454806,69410578,321600,8680,ONLINE,PAID
4454807,69410692,347200,9360,ONLINE,PAID
4454811,69410856,2310640,46200,VOUCHER_STORE,PAID
4454810,69410879,52000,800,ONLINE,PAID
4454818,69411431,231200,3480,ONLINE,PAID
4454819,69411503,184760,2760,ONLINE,PAID
4454821,69411572,223600,3360,ONLINE,PAID
4454823,69411596,588400,15880,ONLINE,PAID
4454826,69411670,254400,3560,ONLINE,PAID
4454829,69411740,553200,14920,ONLINE,PAID
4454830,69411741,86800,1320,ONLINE,PAID
4454831,69411741,40000,0,VOUCHER,PAID
4454834,69411784,289600,4040,ONLINE,PAID
4454839,69411876,171600,2560,ONLINE,PAID
4454840,69411876,27600,0,VOUCHER,PAID
4454841,69411967,67600,1000,ONLINE,PAID
4454844,69412159,534000,8000,ONLINE,PAID
4454846,69412259,362000,5080,ONLINE,PAID
4454852,69412396,601600,16240,ONLINE,PAID
4454855,69412406,125600,1880,ONLINE,PAID
4454859,69412430,134400,2000,ONLINE,PAID
4454863,69412491,126800,1920,ONLINE,PAID
4454864,69412491,40000,0,VOUCHER,PAID
4454865,69412556,646400,17440,ONLINE,PAID
